"","TCGA_04_1362","TCGA_09_0364","TCGA_09_0369","TCGA_09_1673","TCGA_09_2044","TCGA_09_2051","TCGA_10_0928","TCGA_13_0800","TCGA_13_0893","TCGA_13_0897","TCGA_13_0913","TCGA_13_0916","TCGA_13_1403","TCGA_13_1405","TCGA_13_1497","TCGA_13_1498","TCGA_13_1505","TCGA_13_1506","TCGA_13_1507","TCGA_13_1511","TCGA_13_1512","TCGA_13_2060","TCGA_13_A5FT","TCGA_20_1682","TCGA_20_1683","TCGA_20_1687","TCGA_23_1027","TCGA_23_1029","TCGA_23_1111","TCGA_23_1114","TCGA_23_1123","TCGA_23_1809","TCGA_23_2077","TCGA_23_2084","TCGA_24_1103","TCGA_24_1413","TCGA_24_1416","TCGA_24_1417","TCGA_24_1418","TCGA_24_1419","TCGA_24_1423","TCGA_24_1424","TCGA_24_1427","TCGA_24_1428","TCGA_24_1430","TCGA_24_1467","TCGA_24_1469","TCGA_24_1474","TCGA_24_1550","TCGA_24_1551","TCGA_24_1552","TCGA_24_1562","TCGA_24_1603","TCGA_24_1616","TCGA_24_1842","TCGA_24_1843","TCGA_24_1844","TCGA_24_1846","TCGA_24_1850","TCGA_24_2024","TCGA_24_2033","TCGA_24_2035","TCGA_24_2254","TCGA_24_2261","TCGA_24_2262","TCGA_24_2267","TCGA_24_2271","TCGA_24_2281","TCGA_24_2288","TCGA_24_2290","TCGA_24_2298","TCGA_25_1312","TCGA_25_1313","TCGA_25_1315","TCGA_25_1316","TCGA_25_1319","TCGA_25_1323","TCGA_25_1329","TCGA_25_2391","TCGA_25_2392","TCGA_25_2393","TCGA_25_2396","TCGA_25_2399","TCGA_25_2400","TCGA_25_2404","TCGA_29_1688","TCGA_29_1691","TCGA_29_1693","TCGA_29_1694","TCGA_29_1695","TCGA_29_1696","TCGA_29_1697","TCGA_29_1701","TCGA_29_1703","TCGA_29_1710","TCGA_29_1711","TCGA_29_1761","TCGA_29_1762","TCGA_29_1763","TCGA_29_1776","TCGA_29_1778","TCGA_29_1781","TCGA_29_1783","TCGA_29_1784","TCGA_29_1785","TCGA_29_2427","TCGA_29_A5NZ","TCGA_30_1718","TCGA_30_1862","TCGA_30_1891","TCGA_31_1953","TCGA_57_1993","TCGA_57_1994","TCGA_59_2348","TCGA_59_2350","TCGA_59_2351","TCGA_59_2352","TCGA_59_2355","TCGA_59_2363","TCGA_59_A5PD","TCGA_5X_AA5U","TCGA_61_1725","TCGA_61_1728","TCGA_61_1733","TCGA_61_1736","TCGA_61_1738","TCGA_61_1741","TCGA_61_1900","TCGA_61_1907","TCGA_61_1910","TCGA_61_1914","TCGA_61_1919","TCGA_61_1995","TCGA_61_1998","TCGA_61_2000","TCGA_61_2009","TCGA_61_2012","TCGA_61_2088","TCGA_61_2092","TCGA_61_2102","TCGA_61_2104","TCGA_61_2109","TCGA_61_2110","TCGA_61_2113","TCGA_OY_A56Q","TCGA_WR_A838"
"APLF","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ","  ","  ","  "
"APTX","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","MUT","  ","  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ","  ","  ","  "
"ASCC3","  ","  ","  ","  ","  ","DEL","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ","  ","  ","  "
"DNTT","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","MUT","  ","  ","  ","  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ","MUT","  ","  "
"LIG1","  ","  ","  ","  ","  ","  ","  ","  ","  ","DEL","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ","  ","  ","  "
"LIG3","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ","DEL","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ",NA,"  ","  ","  ","MUT","  ","  ","  ","  ","  ","MUT","  ","  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ","  ","  ","  "
"LIG4","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","DEL",NA,"  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","DEL","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","DEL","MUT","  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ","  ","  ","DEL","  ","  ","  ","  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ","  ","  ","  "
"MRE11A","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ",NA,"  ","DEL","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","DEL","  ","  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ","  ","  ","  "
"NBN","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ","  ","  ","  ","MUT","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ","  ","  ","  "
"NHEJ1","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ",NA,"  ","  ","  ","  ","  ","  ","  ","  "
