"","mutLoad_silent","mutLoad_nonsilent","mutSig2","mutSig3","mutSig7"
"TCGA_04_1362_01","0.51549","2.0298","0.025683","0.090013","0.0085354"
"TCGA_09_0364_01","0.38971","1.1691","NaN","NaN","NaN"
"TCGA_09_0369_01","0.85027","3.074","0","0.027316","0.025759"
"TCGA_09_1673_01","0.20457","1.1982","0","0.091529","0.029209"
"TCGA_09_2044_01","1.6494","3.8486","0.22107","0.070496","0.029196"
"TCGA_09_2051_01","1.6682","6.4838","0.10018","0.22966","0.018712"
"TCGA_10_0928_01","0.47779","1.6723","0.046487","0.15764","0.2175"
"TCGA_13_0800_01","1.1892","3.4391","0","0","0.041586"
"TCGA_13_0893_01","0.56361","2.3871","0.14829","0.014971","0"
"TCGA_13_0897_01","0.40362","1.4903","0.051254","0.010983","0.076199"
"TCGA_13_0913_01","1.0015","2.3882","NaN","NaN","NaN"
"TCGA_13_0916_01","0.60013","2.1433","NaN","NaN","NaN"
"TCGA_13_1403_01","0.50686","1.774","0","0.18271","0.014325"
"TCGA_13_1405_01","0.36747","1.4087","0.032095","0","0.093637"
"TCGA_13_1497_01","1.1528","3.792","0.11489","0.10876","0.044975"
"TCGA_13_1498_01","1.3234","3.6394","0.09935","0.12625","0.056276"
"TCGA_13_1505_01","0.71662","1.9707","NaN","NaN","NaN"
"TCGA_13_1506_01","0.091598","0.73279","0","0.15351","0"
"TCGA_13_1507_01","0.60398","2.3555","0","0.031058","0.049245"
"TCGA_13_1511_01","0.44696","1.7878","NaN","NaN","NaN"
"TCGA_13_1512_01","0.56964","1.6789","0","0.10351","0.044101"
"TCGA_13_2060_01","0.57077","1.9343","0","0.010404","0.07839"
"TCGA_13_A5FT_01","NaN","NaN","NaN","NaN","NaN"
"TCGA_20_1682_01","0.66488","2.4782","0.074425","0.1127","0.01519"
"TCGA_20_1683_01","0.79987","2.3107","0.035697","0.0765","0.03016"
"TCGA_20_1687_01","0.63895","1.856","0.11845","0.016271","0.055127"
"TCGA_23_1027_01","0.27318","1.6391","0","0.048881","0"
"TCGA_23_1029_01","0.79904","1.894","0.14404","0","0.0017697"
"TCGA_23_1111_01","0.52617","1.52","0","0.019542","0.058599"
"TCGA_23_1114_01","1.0335","3.5138","0.052159","0","0.0014672"
"TCGA_23_1123_01","0.42849","2.6369","0.024946","0","0"
"TCGA_23_1809_01","0.33788","1.413","0","0","0"
"TCGA_23_2077_01","0.89808","3.015","0.091281","0.037073","0"
"TCGA_23_2084_01","1.2968","4.5886","NaN","NaN","NaN"
"TCGA_24_1103_01","0.61158","1.9265","0.13364","0","0.078071"
"TCGA_24_1413_01","0.26383","1.3192","0","0.17377","0.057256"
"TCGA_24_1416_01","0.26845","0.50708","NaN","NaN","NaN"
"TCGA_24_1417_01","0.85077","2.3396","0","0.10654","0.026331"
"TCGA_24_1418_01","0.39412","1.7584","0","0.024722","0.053678"
"TCGA_24_1419_01","0.23807","1.1904","0.2212","0","0.012508"
"TCGA_24_1423_01","0.68914","2.3071","0.012001","0.080438","0.056909"
"TCGA_24_1424_01","0.59816","1.8842","0","0.082495","0.0064403"
"TCGA_24_1427_01","0.56331","1.6603","0.070748","0","0"
"TCGA_24_1428_01","0.60497","2.3291","NaN","NaN","NaN"
"TCGA_24_1430_01","0.15186","1.3971","NaN","NaN","NaN"
"TCGA_24_1467_01","0.16499","0.82493","NaN","NaN","NaN"
"TCGA_24_1469_01","2.0724","6.0671","0","0.01275","0.059265"
"TCGA_24_1474_01","0.45787","2.1978","0.096734","0.050681","0.012033"
"TCGA_24_1550_01","0.79843","5.5003","NaN","NaN","NaN"
"TCGA_24_1551_01","0.36148","1.1146","0.034359","0.01258","0"
"TCGA_24_1552_01","0.26303","1.432","0","0","0"
"TCGA_24_1562_01","0.27418","0.853","0","0","0"
"TCGA_24_1603_01","0.20629","1.0904","0","0.06241","0"
"TCGA_24_1616_01","0.44544","1.7499","0.032451","0","0"
"TCGA_24_1842_01","0.28821","1.3546","0","0.023876","0.034681"
"TCGA_24_1843_01","0.57879","2.2847","0.082396","0","0"
"TCGA_24_1844_01","0.99006","4.2223","0.095783","0","0.017716"
"TCGA_24_1846_01","0.70382","2.8739","0.098841","0.027478","0.085771"
"TCGA_24_1850_01","0.5467","2.3994","0","0","0"
"TCGA_24_2024_01","0.92514","2.9467","0.14385","0","0.021104"
"TCGA_24_2033_01","0.93862","3.1719","NaN","NaN","NaN"
"TCGA_24_2035_01","1.282","4.3587","0","0.1311","0"
"TCGA_24_2254_01","0.65437","2.3865","0.004769","0.01944","0.090683"
