"","id","pert_id","pert_iname","cell_iname","pert_type","pert_idose","pert_itime","nsample","ss_ngene","cc_q75","tas","qc_pass","is_hiq","is_ncs_sig","is_exemplar_sig","is_null_sig","moa","target_name","raw_cs","fdr_q_nlog10","norm_cs"
"55","CPC014_VCAP_24H:BRD-U25771771-000-01-7:10","BRD-U25771771","WZ-4-145","VCAP","trt_cp","10 uM","24 h",5,380,"0.58","0.474719",0,0,1,1,0,"EGFR inhibitor","-666","0.9127","2.3957","2.0137"
"62","REP.A012_A375_24H:G09","BRD-A01636364","bupivacaine","A375","trt_cp","1.11 uM","24 h",3,95,"0.1933","0.137028",1,0,1,1,0,"Sodium channel inhibitor","SCN9A|KCNA5|PTGER1|SCN10A|SCN4A","0.9089","2.3733","2.0053"
"134","CPC006_A375_6H:N01","BRD-A71390734","idarubicin","A375","trt_cp","0.08 uM","6 h",5,468,"0.6227","0.545875",1,1,1,1,0,"Topoisomerase inhibitor","TOP2A","0.8893","2.2734","1.9621"
"217","CPC014_SKB_24H:BRD-K35483542-001-04-9:10","BRD-K35483542","alitretinoin","SKB","trt_cp","10 uM","24 h",4,84,"0.25","0.146535",0,0,1,1,0,"Retinoid receptor agonist","RARG|RARA|RARB|RXRA|RXRG|RXRB","0.8748","2.2119","1.9301"
"276","PAC003_U2OS_6H:BRD-K26997899-001-01-4:10","BRD-K26997899","D-64131","U2OS","trt_cp","10 uM","6 h",2,85,"0.48","0.204249",1,1,1,1,0,"Tubulin inhibitor","TUBB","0.8686","2.1881","1.9165"
"314","PAC003_U2OS_6H:BRD-K36965586-001-01-7:10","BRD-K36965586","m-chlorophenylbiguanide","U2OS","trt_cp","10 uM","6 h",2,100,"0.32","0.180886",1,1,1,1,0,"Serotonin receptor agonist","HTR3A|HTR3B","0.8651","2.1753","1.9088"
"328","CPC014_A549_6H:BRD-K95901403-001-01-1:10","BRD-K95901403","XL-147","A549","trt_cp","10 uM","6 h",3,231,"0.39","0.303507",1,1,1,1,0,"PI3K inhibitor","PIK3CG|PIK3CA|PIK3CD","0.8633","2.1688","1.9049"
"361","REP.B007_PC3_24H:I20","BRD-K52989797","clomipramine","PC3","trt_cp","0.74 uM","24 h",2,58,"0.1057","0.0791739",1,1,1,1,0,"Serotonin receptor antagonist","SLC6A4|SLC6A2|CYP2C19|GSTP1|HTR2A|HTR2B|HTR2C|SLC6A3","0.8598","2.1561","1.897"
"380","CPC004_VCAP_24H:L24","BRD-K15933101","ropinirole","VCAP","trt_cp","10 uM","24 h",6,573,"0.15","0.296451",0,0,1,1,0,"Dopamine receptor agonist","DRD2|DRD3|ADRA2A|ADRA2B|ADRA2C|DRD1|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C","0.8577","2.149","1.8924"
"456","CPC014_HEPG2_6H:BRD-K83988098-003-01-8:10","BRD-K83988098","alvespimycin","HEPG2","trt_cp","10 uM","6 h",3,307,"0.45","0.375843",0,0,1,1,0,"HSP inhibitor","HSP90AA1","0.8499","2.1231","1.8752"
